"DeviceName","VID","PID","Status","VidName","PidName","DeviceID"
"Seeeduin o XIAO USB Device",,,"Unknown","System.Object[]","","USBSTOR\DISK&VEN_SEEEDUIN&PROD_O_XIAO&REV_1.00\8&44029CA&0&D74B35B65154315432202020FF0F0614&0"
"USB-Root-Hub (USB 3.0)",,,"OK","System.Object[]","L 002f  Macedonian","USB\ROOT_HUB30\4&2FCA53C&0&0"
"USB-Root-Hub",,,"OK","System.Object[]","0002  HID Monitor Controls","USB\ROOT_HUB20\4&203777AF&0"
"Smart Label Printer 650",,,"OK","System.Object[]","0022  Minolta DiMAGE Z5 (PictBridge mode)","USBPRINT\SIISLP650\7&DCA9B8F&1&USB002"
"USB-Root-Hub",,,"OK","System.Object[]","0126  VR340/D750 Digital Camera","USB\ROOT_HUB20\4&2543F4F5&0"
"Generic USB Hub","0409","005A","OK","0409  NEC Corp.","005a  HighSpeed Hub","USB\VID_0409&PID_005A\6&14D71AC0&0&8"
"USB-Eingabegerät","046D","C626","OK","046d  Logitech, Inc.","c626  3Dconnexion Space Navigator 3D Mouse","USB\VID_046D&PID_C626\8&1F84F849&0&3"
"Canon LiDE 500F","04A9","221F","OK","04a9  Canon, Inc.","221f  CanoScan LiDE 500F","USB\VID_04A9&PID_221F\6&8B2A1A8&0&6"
"Generic USB Hub","04B3","301A","OK","04b3  IBM Corp.","301a  2-port low-power hub","USB\VID_04B3&PID_301A\8&1F84F849&0&1"
"USB-Eingabegerät","04B3","301B","OK","04b3  IBM Corp.","301b  SK-8815 Keyboard","USB\VID_04B3&PID_301B&MI_00\A&180F169B&0&0000"
"USB-Verbundgerät","04B3","301B","OK","04b3  IBM Corp.","301b  SK-8815 Keyboard","USB\VID_04B3&PID_301B\9&18DF44D&1&1"
"USB-Eingabegerät","04B3","301B","OK","04b3  IBM Corp.","301b  SK-8815 Keyboard","USB\VID_04B3&PID_301B&MI_01\A&180F169B&0&0001"
"USB-Eingabegerät","056D","0002","OK","056d  EIZO Corp.","0002  HID Monitor Controls","USB\VID_056D&PID_0002\7&32E13F92&0&3"
"Generic USB Hub","05E3","0605","OK","05e3  Genesys Logic, Inc.","0605  Hub","USB\VID_05E3&PID_0605\7&32E13F92&0&2"
"USB-Druckerunterstützung","0619","0126","OK","0619  Seiko Instruments, Inc.","0126  VR340/D750 Digital Camera","USB\VID_0619&PID_0126\2016851A"
"USB-Eingabegerät","0B33","0030","OK","0b33  Contour Design, Inc.","0030  ShuttlePro v2","USB\VID_0B33&PID_0030\8&1F84F849&0&4"
"Realtek USB 2.0 Card Reader","0BDA","0184","OK","0bda  Realtek Semiconductor Corp.","0184  RTS5182 Card Reader","USB\VID_0BDA&PID_0184\20100818841300000"
"USB-Eingabegerät","1011","0022","OK","1011  Mobile Media Tech.","0022  Minolta DiMAGE Z5 (PictBridge mode)","USB\VID_1011&PID_0022\5&36613F01&0&1"
"Silicon Labs CP210x USB to UART Bridge (COM7)","10C4","EA60","OK","10c4  Silicon Labs","ea60  CP210x UART Bridge","USB\VID_10C4&PID_EA60\0001"
